id,name,text,trans
0-chapter_name,,holy-day,
0-synopsis,,艇の中をお散歩してたら、お掃除中の団長さんとシン……もといシスにばったり会っちゃいましたよ！　いやいやゆっくりするのもね！　休憩ですのでね！　それにしても、ふたりが一緒に居るのを見てると感動で涙が……いやいやいや、現実では面識ないのでね！　気をつけないとね！　……ああ、でも、ふたりを見ているとつい、演算世界の<span class='scene-font-place'>ザンクティンゼル</span>で過ごした日々を思い出しちゃうなぁ……,
1,,湊斗 景明達に受け入れられ、\nグランサイファーで暫しの休息を\n取ることになったオロロジャイア。,
2,,演算世界の記憶を懐かしみながら\nオロロジャイアは騎空艇内を\n散歩していた。,
4,オロロジャイア/欧罗罗伽亚,変わらないなぁ……,
5,シスの声/希斯的声音,俺が持ち上げるから、\n下を掃いて貰えないか、\n湊斗 景明。,
7,オロロジャイア/欧罗罗伽亚,この声は……,
11,,オロロジャイアが足を伸ばした先では、\n湊斗 景明がシスと共に\n掃除を進めていた。,
12,シス/希斯,ん……？\nお前は……,
14,オロロジャイア/欧罗罗伽亚,あっ……えっと、\nオロロジャイアちゃんでっす！\n先日は大変お世話になりまして……,
15,シス/希斯,確か、休暇を取りに来たんだったか。\nうろうろしていていいのか？,
17,オロロジャイア/欧罗罗伽亚,体を悪くしてるとかじゃないしね。\nお掃除中なんだよね？\n僕も手伝おっか？,
18,,早速腕まくりをするオロロジャイアに、\n湊斗 景明は軽く呆れつつ\nきちんと休むように伝える。,
19,シス/希斯,確かに、荷物の移動もある。\n休暇中にやることではない気はするな。,
21,オロロジャイア/欧罗罗伽亚,えー……そっかなぁ……,
23,オロロジャイア/欧罗罗伽亚,ヨヨヨヨ……\nこのままじゃロジャーさん、\n体が鈍りまくりんぐだよぉ～,
24,,六竜達の気持ちを実感しつつ、\n湊斗 景明はオロロジャイアに\n重ねて休むように言うのだった。,
25,シス/希斯,まあ……意図的に休む、というのを\n難しく感じる気持ちは\n分からなくもない。,
27,オロロジャイア/欧罗罗伽亚,<span class='scene-font-4'>でっしょー！？</span>\nさっすがシ……スくん！,
29,オロロジャイア/欧罗罗伽亚,あはは、わかってくれて\n嬉しーよ～！,
31,オロロジャイア/欧罗罗伽亚,（あ、あっぶな～！！\nシンクって呼んじゃうところだった！）,
33,オロロジャイア/欧罗罗伽亚,（あぁでも、シンク……じゃない\nシスくんも大きくなったなぁ……）,
34,シス/希斯,…………？,
36,オロロジャイア/欧罗罗伽亚,（湊斗 景明と\n一緒に居るところを見ると……\nうぐっ……涙が……）,
37,,目を細めたオロロジャイアは、\n演算世界での出来事を\nつい思い返してしまう。,
45,シンク/星,ロジャー、湊斗 景明と\n廊下の水拭き終わらせたけど……,
47,オロロジャイア/欧罗罗伽亚,あっ！　ありがとうシンク。,
48,ビィ/碧,なぁなぁ見てみろよ～！\n湊斗 景明が\n赤ちゃんだった頃の服だぜ！,
49,,ビィに示された小さな服を、\nシンクと湊斗 景明は\n興味深そうに覗き込む。,
51,オロロジャイア/欧罗罗伽亚,はぁ～……\n湊斗 景明ってば\nこーんなにちっちゃかったんだねぇ……,
52,ビィ/碧,だよな～！　オイラだって\n抱っこできてたんだもんな。,
54,オロロジャイア/欧罗罗伽亚,あっ！　見て見てビィ！\nこっちのお靴、懐かしい～！,
55,ビィ/碧,おぉ、もしかしてこれって\n初めて湊斗 景明が歩いた後に\nロジャーが作ってやったやつか！？,
56,シンク/星,……今はもう\n流石に湊斗 景明には\n履けないな。,
57,ビィ/碧,このちっこい足でヨチヨチ歩いてさ、\nこっちはいつ転ぶか\nハラハラしちまって……,
59,オロロジャイア/欧罗罗伽亚,湊斗 景明は歩けるように\nなってから、どこへでも行っちゃおうと\nするから目が離せなくてねぇ……,
59-sel1_txt,,もう！　掃除は！？,
61,,自分の赤ん坊の頃の話を掘り返されて\n気恥ずかしく思う湊斗 景明は、\nオロロジャイア達を急かす。,
62,シンク/星,そういえば……さっき見た時から、\n全然片づけが進んでないような……？,
64,オロロジャイア/欧罗罗伽亚,うっ……ごめんごめん、\n懐かしいものがいっぱい出てきて\nつい～……,
64-sel1_txt,,つい、じゃないでしょ！,
66,ビィ/碧,悪かったって～,
68,オロロジャイア/欧罗罗伽亚,湊斗 景明も僕達を\n叱るくらい大きくなったんだねぇ……,
69,,何故か感動した様子を見せる\nオロロジャイアの背中を押して、\n湊斗 景明は掃除の続きを促した。,
71,オロロジャイア/欧罗罗伽亚,は～い、頑張りま～す！\nふたり共、廊下の水拭きありがとね！,
72,ビィ/碧,さて、本腰入れて\n片付けるとするかぁ！,
81,オロロジャイア/欧罗罗伽亚,…………,
82,シス/希斯,大丈夫……か？\nぼんやりしているようだが……,
83,,やはり疲れているのだろうと\n湊斗 景明とシスは\nオロロジャイアを案じる。,
85,オロロジャイア/欧罗罗伽亚,ごめんごめん、\nちょーっとね！,
87,オロロジャイア/欧罗罗伽亚,お掃除の邪魔になっちゃいそうだし、\nそろそろ僕は行くね～！,
90,シス/希斯,休暇を取れ、という\n六竜の言葉は正しそうだな……,
91,,頷きつつ、湊斗 景明は去っていく\nオロロジャイアの背中にどこか\n寂し気な雰囲気を感じ取るのだった。,
info,,,scene_chr877_q1_s10
译者,,,